cln_title,polarity_score
安徽 男子 狗 取名 城管       遭 行政拘留 10 日,-1
上海 奇景       大學校園 足球場 竟變 停車場,0
貿易戰 導致 全球 價值鏈 轉移   大陸 面臨 潛在 就業 風險,1
西藏 拉薩 降雪     網友 險在 夏天 凍死,0
今後 年   陸 國開行 至少 提供 台企 融資 600 億 人民幣,1
大陸 科學家 琥珀 中 發現 史前 海洋 動物,1
陸 報復 關稅 針對性   專打 川普 支持者 盤,2
不打自招 海基會 自爆 稅務 驗證 做到 手殘,0
港 豬瘟 蔓延   張 小月 台灣 可助 港府 防疫 工作,0
北京市委 書記 蔡奇   洪秀 柱籲 警惕 民進黨 中國化 舉措,0
北京師範大學 演講   洪 秀柱 兩岸 和平 優先 統一,3
陸 改革 建議書 點名 批評 美 政策 威脅 WTO 存在,2
中美 貿易戰   王毅 極限 施壓 只 引發 正當 反擊,0
北京師大 演講   洪 秀柱 兩岸 一起 好,0
夏納翰 美 軍種 做好 準備 應對 大陸 挑戰,1
環時 社評 赴美 留學 挺 好 求學路   非 唯一,1
第二屆 海峽兩岸 姊妹 湖 產業 協作 年會 天目湖 舉行,2
戈 蘭新 屯墾 區   以國 命名 川普,0
菲 期中 選舉   杜特蒂 勝券在握,1
洪 汪會   堅持 九二 共識   無 統一 時間表,3
美打 擦邊球   勿 避戰 變 必戰,1
美 陸戰隊   月 祕密 來台 演訓,0
領導人 要能 回應 民眾 望治 心切,1
體制 差異 化解 中美 貿易戰,0
自貿區 政見,0
貿易 持久戰   台應 及早 避險,2
台胞 居住證 破 10 萬   恐嚇 牌 失效,-2
兩岸 史話 － 辦報 拚 性命   寫 小說 玩玩,0
兩岸 月來 交流   共同 紀念 張大千,3
豬瘟 入侵 香港   6000 隻 豬 全數 撲殺,0
淮安 食品 博覽會   旺旺 挺 食安 行動,1
圓夢 獄警   焦灩 成父 祖輩 戰友,1
三代 獄警   見證 川 監獄 70 年 歷史,-1
鎖定 下沉 市場   搶 抖音 快手 用戶,1
陸 免費網 文逆襲   攻破 付費 城牆,0
父母 陪伴   最好 情商,2
情商 師資 不齊   有人 上課 年 白花錢,0
陸娃 歲 學社 交   比學 才藝 貴,1
守護 黃山 迎客松   胡 曉春 兩度 獲獎,2
設計 三峽大壩   26 年 工地 為家,-1
入駐 大興 機場   逾 50 航企 意願,1
自經 區 有利 台商 回流   提升 競爭力,4
戳破 經濟 20 年來 最好 說法   新 南向 政策 完全 失敗 GDP 陷保 危機   蔡 遭 國策 會打 臉,-1
陸 展開 反制   月起 美貨 加稅,0
中美 關稅 對決   掀 全球 貿易戰,0
淮安 食 博會 開幕   美味 紛呈,1
全球 數據 搶 人才   成在 陸,0
廣東 加速 5G 應用   領域 結合 發展,2
陸 5G 基建 衝刺   2030 占 GDP6,1
境外 資金 匯回 專法 草案 接 地氣,0
南京 人才 公寓   博士 享 年免 租金,0
廣州 搶 優秀人才   提供 住房 保障,3
